pool_id,ticker,name,stake_lovelace,stake_ada,relay_hostname,relay_ip,latitude,longitude,city,country
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,CF2,Cardano Foundation - Private,76301499880772,76301499.880772000000,cf2r1.mainnet.pool.cardanofoundation.org,"","","","",""
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,CF3,Cardano Foundation - Private,76301499726481,76301499.726481000000,cf3r2.mainnet.pool.cardanofoundation.org,"","","","",""
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,CF3,Cardano Foundation - Private,76301499726481,76301499.726481000000,cf3r1.mainnet.pool.cardanofoundation.org,"","","","",""
pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,"","",76270306413824,76270306.413824000000,28.cardano.staked.cloud,"","","","",""
pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,"","",76214566936984,76214566.936984000000,"",13.236.12.204,"","","",""
pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,"","",76167428207765,76167428.207765000000,"",13.211.73.179,"","","",""
pool1mtxmk0skqkr5y0wxnxps4n35j6wn9q8dfr82y423vvlp53vccux,KILN3,Kiln,75898431372188,75898431.372188000000,relay-kiln-3-1.cardano.mainnet.kiln.fi,"","","","",""
pool1mtxmk0skqkr5y0wxnxps4n35j6wn9q8dfr82y423vvlp53vccux,KILN3,Kiln,75898431372188,75898431.372188000000,relay-kiln-3-0.cardano.mainnet.kiln.fi,"","","","",""
pool1mtxmk0skqkr5y0wxnxps4n35j6wn9q8dfr82y423vvlp53vccux,KILN3,Kiln,75898431372188,75898431.372188000000,relay-kiln-3-2.cardano.mainnet.kiln.fi,"","","","",""
pool1v62c7d92xv6gyh4x9rhfpkwzlpw2ypxk92xvzavakg3xypatklv,KILN2,Kiln,75893695046316,75893695.046316000000,relay-kiln-2-0.cardano.mainnet.kiln.fi,"","","","",""
pool1v62c7d92xv6gyh4x9rhfpkwzlpw2ypxk92xvzavakg3xypatklv,KILN2,Kiln,75893695046316,75893695.046316000000,relay-kiln-2-2.cardano.mainnet.kiln.fi,"","","","",""
pool1v62c7d92xv6gyh4x9rhfpkwzlpw2ypxk92xvzavakg3xypatklv,KILN2,Kiln,75893695046316,75893695.046316000000,relay-kiln-2-1.cardano.mainnet.kiln.fi,"","","","",""
pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,SPIRE,Spire Staking | 💎 Delegate to SPIR2,75722274868595,75722274.868595000000,r1.spirestaking.com,"","","","",""
pool1mfyzxyggryp0jhgghvzas7qjdyz2rcfnm5rfq8s9uefvukrlps5,BD6,Blockdaemon 🧱😈 Stake Pool 6,75530414502142,75530414.502142000000,"","","","","",""
pool1rkm8rplkafvllxjuddrkqc3u3lgd9uf327tvmvfdyygsv7lkhm8,"","",75530087376638,75530087.376638000000,50.cardano.staked.cloud,"","","","",""
pool1luhm55xxqp0cv7a43rcfrr8m6m74kfe7wdvqdgfzt483x29lr0t,CF5,Cardano Foundation - Private,75500025793072,75500025.793072000000,cf5r2.mainnet.pool.cardanofoundation.org,"","","","",""
pool1luhm55xxqp0cv7a43rcfrr8m6m74kfe7wdvqdgfzt483x29lr0t,CF5,Cardano Foundation - Private,75500025793072,75500025.793072000000,cf5r1.mainnet.pool.cardanofoundation.org,"","","","",""
pool1r2fph82mjhgu955cesn4yejjva4sk7uuh06yhwf8e9ln5djy5h7,CF6,Cardano Foundation - Private,75500001574016,75500001.574016000000,cf6r2.mainnet.pool.cardanofoundation.org,"","","","",""
pool1r2fph82mjhgu955cesn4yejjva4sk7uuh06yhwf8e9ln5djy5h7,CF6,Cardano Foundation - Private,75500001574016,75500001.574016000000,cf6r1.mainnet.pool.cardanofoundation.org,"","","","",""
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,KILN4,kiln,75238906068252,75238906.068252000000,relay-kiln-4-0.cardano.mainnet.kiln.fi,"","","","",""
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,KILN4,kiln,75238906068252,75238906.068252000000,relay-kiln-4-2.cardano.mainnet.kiln.fi,"","","","",""
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,KILN4,kiln,75238906068252,75238906.068252000000,relay-kiln-4-1.cardano.mainnet.kiln.fi,"","","","",""
pool1ljqjqskd4f4zekzddw204u5xtzhyz2cllq5v5dmn27zdwf9c70f,WPBJ3,WPBJ,74973388678274,74973388.678274000000,relays.wavepool.digital,"","","","",""
pool1w4cetqsly2cz9fq2te95tnk2r56mh6ew6dmpyfctv2ldv8xuj9g,"","",74896382835878,74896382.835878000000,relays.wavepool.digital,"","","","",""
pool1eqa7kxx4xg35cu4rqj4exkvzhenscgh8wxez0gl7hsagygp79kr,PILOT,Pilot Pool,74891294644748,74891294.644748000000,"",178.128.79.219,"","","",""
pool1eqa7kxx4xg35cu4rqj4exkvzhenscgh8wxez0gl7hsagygp79kr,PILOT,Pilot Pool,74891294644748,74891294.644748000000,"",104.131.122.73,"","","",""
pool16ajaae2n5lsyr4f9k9uz5y8tpf0996tw640dzu7chwp2wdrnz6a,BLADE,BLADE Pool,74591782967866,74591782.967866000000,relays.bladepool.com,"","","","",""
pool1hnp560z9e5acwux8tjguxq36j9r255zuf02u7z2d46dvcf5zhns,LCP,LovelaceCommunityPool,74547155535277,74547155.535277000000,relay02.ca.lovelace.community,"","","","",""
pool1hnp560z9e5acwux8tjguxq36j9r255zuf02u7z2d46dvcf5zhns,LCP,LovelaceCommunityPool,74547155535277,74547155.535277000000,relay01.de.lovelace.community,"","","","",""
pool1hnp560z9e5acwux8tjguxq36j9r255zuf02u7z2d46dvcf5zhns,LCP,LovelaceCommunityPool,74547155535277,74547155.535277000000,relay01.fr.lovelace.community,"","","","",""
pool1hnp560z9e5acwux8tjguxq36j9r255zuf02u7z2d46dvcf5zhns,LCP,LovelaceCommunityPool,74547155535277,74547155.535277000000,relay01.ca.lovelace.community,"","","","",""
pool155p7g23vdme50kp5lfqylfx5h7ndldyz2mletvr8fqucqzyrk44,WPBJ1,WPBJ,74508835168241,74508835.168241000000,relays.wavepool.digital,"","","","",""
pool1kphkk90f2mculhcndpdd3a7ukvptzqrgyr9jtuvw6c5z2dptuph,"","",74038848361259,74038848.361259000000,45.cardano.staked.cloud,"","","","",""
pool1cxjqg6nn588ura2rx4uptwprgzw82j89j2gjguwhtun4ypw2sh4,"","",74032573359165,74032573.359165000000,46.cardano.staked.cloud,"","","","",""
pool1ntlyr9hrrdg3gpdkmr267hq46ys2rlj5y25dzx3reuecgd7p5sh,"","",74026955853274,74026955.853274000000,44.cardano.staked.cloud,"","","","",""
pool1a5ld0eulnjxwpg6qyjs6hxzqwj0esft7k0qsf6nj8pkfxy5lml3,"","",74026735831357,74026735.831357000000,47.cardano.staked.cloud,"","","","",""
pool1yyar66t9fw9dscj8huhredgwplcnf22zq7q7vugur0t5c9nzt97,"","",74025369307887,74025369.307887000000,41.cardano.staked.cloud,"","","","",""
pool1hv59awqky90plv68xun2k3rd7jqfe5y2c4ry8f7p0x9pxhd7wqr,"","",74022595123803,74022595.123803000000,42.cardano.staked.cloud,"","","","",""
pool1xsj9s3mfpztls97x7jjql0msmeh5v3wa5vyqhmmmsx8jzsqxrsv,"","",73917851672831,73917851.672831000000,bd-cardano-main-relay-12-a.bdnodes.net,"","","","",""
pool1xsj9s3mfpztls97x7jjql0msmeh5v3wa5vyqhmmmsx8jzsqxrsv,"","",73917851672831,73917851.672831000000,bd-cardano-main-relay-12-b.bdnodes.net,"","","","",""
pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,ADALO,ADALovelacePool,73632974481221,73632974.481221000000,"",162.120.71.180,"","","",""
pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd,NORTH,#3 Nordic Pool,73518722363812,73518722.363812000000,Relay1.NordicPool.org,"","","","",""
pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd,NORTH,#3 Nordic Pool,73518722363812,73518722.363812000000,Relay3.NordicPool.org,"","","","",""
pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd,NORTH,#3 Nordic Pool,73518722363812,73518722.363812000000,Relay2.NordicPool.org,"","","","",""
pool17rjst78s67lvellg8s586rf076jxa3wnsdz730f4xk2zwuhrtej,NORTH,#2 Nordic Pool,73336142507334,73336142.507334000000,Relay1.NordicPool.org,"","","","",""
